Chart,Music,Image,AspectRatio,ScaleRatio,GlobalAlpha,Name,Level,Illustrator,Designer
谱面,音乐,图片,宽高比,按键缩放,背景变暗,名称,等级,曲绘,谱师
Terrasphere.txt,Terrasphere.mp3,Terrasphere.png,1.777778,8e3,0.6,Terrasphere,AT Lv.15,Plum,杭杭嗷w & InterJoke
